Group,Temp ID,Animal ID,Sex,Code,Day,9,12,15,19,22,26,29,33,36
07,152,152,F,TS,33,62.95,102.86,85.78,390.72,536.39,847.94,1497.03,2991.41,
07,172,172,F,TS,33,88.68,105.04,183.83,203.77,443.16,771.33,1557.36,2009.96,
07,232,232,F,TS,33,50.77,124.67,158.36,384.29,615.67,830.89,1342.25,1535.48,
07,246,246,F,TS,33,65.16,133.02,190.74,527.34,934.55,1019.66,1355.12,2619.96,
07,249,249,F,TS,33,44.97,91.72,105.90,423.25,654.37,1118.21,1697.38,2166.49,
07,288,288,F,TS,33,71.00,143.10,182.34,408.15,681.57,866.95,1018.47,1027.88,
07,296,296,F,TS,33,79.13,132.64,192.57,393.00,891.81,1149.84,1611.65,1997.24,
08,01,01,F,TS,33,68.52,71.10,104.87,165.31,660.26,424.57,924.40,1001.06,
08,36,36,F,TS,33,87.03,107.36,159.24,357.92,457.70,811.10,1811.57,2038.31,
08,55,55,F,TS,33,52.42,105.28,127.62,311.90,529.40,830.91,1588.92,1642.29,
08,64,64,F,TS,33,53.95,57.34,81.65,184.09,449.92,691.24,1073.04,2128.56,
08,69,69,F,TS,33,69.47,84.11,98.05,206.60,476.55,574.97,1059.91,1088.52,
08,77,77,F,TS,33,45.16,76.68,72.80,156.74,198.26,348.67,494.56,957.93,
08,255,255,F,TS,33,58.40,89.50,166.85,337.99,800.80,853.66,1913.42,2760.19,
08,263,263,F,TS,33,80.08,103.73,188.98,321.10,637.69,762.31,1019.68,1783.95,
08,271,271,F,TS,33,60.38,94.49,123.62,185.38,265.03,511.31,598.25,1216.00,
08,328,328,F,TS,33,48.98,104.06,158.46,426.43,619.95,886.61,1487.72,2146.22,
09,13,13,F,TS,36,48.54,67.67,90.28,196.51,376.83,559.80,997.30,1568.13,2238.82
09,27,27,F,TS,36,70.25,121.04,172.75,321.40,503.05,751.57,771.78,1255.34,1542.48
09,48,48,F,TS,36,69.66,97.80,135.37,140.93,293.50,645.66,1091.18,1775.21,2846.59
09,56,56,F,MOS,36,44.46,76.84,66.81,83.85,213.97,299.48,410.03,595.93,698.69
09,108,108,F,TS,36,53.57,127.56,230.44,419.32,660.44,729.17,1293.78,1726.28,2160.80
09,133,133,F,TV-S,34,78.39,101.39,196.97,324.48,831.49,1202.98,1930.99,2020.08,
09,147,147,F,TS,36,54.04,72.95,117.46,215.80,258.55,432.18,679.45,869.51,1168.27
09,173,173,F,TS,36,59.45,128.47,82.38,214.97,239.87,388.48,432.59,713.46,736.00
09,175,175,F,TS,36,52.69,59.98,97.93,132.59,177.45,379.32,628.07,922.84,1461.41
09,225,225,F,TV-S,34,92.75,125.51,169.53,356.16,507.71,923.11,1624.00,2083.94,
14,10,10,F,TS,36,67.87,72.11,86.85,157.54,259.34,539.76,539.87,843.94,874.35
14,50,50,F,D,26,46.16,61.52,143.45,273.57,346.08,,,,
